username,puzzles_solved_baseline,joined_at
antisqueeze,1615,2026-04-03 06:00 UTC
are_double_you,284,2026-03-31 22:15 UTC
augustschachnoob,2228,2026-04-01 12:30 UTC
barikbinchess,2801,2026-04-03 18:01 UTC
bosnjakinja,3,2026-03-31 22:15 UTC
bullenhai14,2,2026-04-04 10:45 UTC
burgir_ohne_tomaten,6390,2026-03-31 22:15 UTC
chesscoderx,267,2026-04-02 18:00 UTC
clairewerk,5660,2026-03-31 22:15 UTC
colin2412,1070,2026-03-31 22:15 UTC
commonelk,5541,2026-03-31 22:15 UTC
drakeoffic1al,113,2026-04-04 11:15 UTC
ehos13,470,2026-04-01 13:45 UTC
emil-07,20,2026-04-03 08:45 UTC
finnegan02,14,2026-04-03 07:00 UTC
fixlipp,3747,2026-04-03 18:01 UTC
hamza_hy,253,2026-04-04 19:15 UTC
hamza_uh,180,2026-04-04 18:45 UTC
haruni-koki,2859,2026-04-03 18:01 UTC
hsj,161,2026-03-31 22:15 UTC
kakaobohne,1610,2026-03-31 22:15 UTC
kiliannnkun,50,2026-03-31 22:15 UTC
kokololo1,1469,2026-03-31 22:15 UTC
ksedward,880,2026-04-03 17:30 UTC
levin67,44,2026-04-04 10:45 UTC
lorenzoo15,1865,2026-04-02 16:45 UTC
lukehonk,261,2026-04-04 10:45 UTC
luo-darmstadt,222,2026-04-03 08:00 UTC
minimesz,768,2026-04-04 18:15 UTC
mobilecm,73,2026-04-01 12:15 UTC
moro4213,1,2026-04-03 12:00 UTC
opiumfarasat,1,2026-04-05 13:15 UTC
paulus_the_great,39,2026-03-31 22:15 UTC
philipp112009,14863,2026-03-31 22:15 UTC
phillip_g,2647,2026-03-31 22:15 UTC
pizza00guy,1095,2026-03-31 22:15 UTC
poik4m,3263,2026-04-03 18:01 UTC
ramulu256,5665,2026-04-03 18:01 UTC
roadtotitel,195,2026-03-31 22:15 UTC
schokobiene,7110,2026-03-31 22:15 UTC
shahzaibst,2938,2026-04-01 11:30 UTC
sophiereis2009,1025,2026-04-02 16:00 UTC
test_hsj,10,2026-03-31 22:15 UTC
thenahnim,1,2026-04-03 21:30 UTC
traenenlos345,1509,2026-03-31 22:15 UTC
tufracadav,12802,2026-04-04 08:45 UTC
zijuk,3100,2026-03-31 22:15 UTC
